[INFO] 2018-05-10 18:13:48,942 AppiumController extentReportSetUp - Running UPI Appium Automation testing for PNB
[INFO] 2018-05-10 18:13:49,039 Driver init - App started : com.fss.pnbpsp
[INFO] 2018-05-10 18:13:49,039 Driver instantiateDriver - The platform is : Android platform
[INFO] 2018-05-10 18:14:18,555 AppiumController extentbeforeMethod - @BeforeMethod : ThreadName: mainmBankingBaseFactory.AppiumController
[INFO] 2018-05-10 18:14:18,563 BalanceEnquiryTest login - **********Login to application**********
[INFO] 2018-05-10 18:14:18,684 AppiumController waitForElement - Entered Wait for locator
[INFO] 2018-05-10 18:14:22,135 AppiumController waitForElement - Element found : ******
[INFO] 2018-05-10 18:14:27,118 AppiumController sendText - Send Text : 123789
[INFO] 2018-05-10 18:14:27,119 BasePage loginApp - Login Pin send  : 123789
[INFO] 2018-05-10 18:14:27,120 AppiumController waitForElement - Entered Wait for locator
[INFO] 2018-05-10 18:14:27,690 AppiumController waitForElement - Element found : 
[INFO] 2018-05-10 18:14:29,810 AppiumController click - clicked element
[INFO] 2018-05-10 18:14:29,811 BalanceEnquiryTest login - ***************End***************
[INFO] 2018-05-10 18:14:29,816 AppiumController extentGetResult - @AfterMethod

[INFO] 2018-05-10 18:14:29,823 AppiumController extentbeforeMethod - @BeforeMethod : ThreadName: mainmBankingBaseFactory.AppiumController
[INFO] 2018-05-10 18:14:29,825 BalanceEnquiryTest setUPIPIN - **********Balance Enquiry**********
[INFO] 2018-05-10 18:14:29,839 AppiumController clickTextView - Click on element : View Balance
[INFO] 2018-05-10 18:14:30,790 AppiumController waitForElement - Entered Wait for locator
[INFO] 2018-05-10 18:14:33,846 AppiumController waitForElement - Element found : Bank Name	:
[INFO] 2018-05-10 18:14:34,055 AppiumController click - clicked element
[INFO] 2018-05-10 18:14:34,737 BasePage viewBalance - true
[INFO] 2018-05-10 18:14:34,792 BasePage viewBalance - true
[INFO] 2018-05-10 18:14:34,793 BalanceEnquiryTest setUPIPIN - ***************End***************
[INFO] 2018-05-10 18:14:34,796 AppiumController extentGetResult - @AfterMethod

[INFO] 2018-05-10 18:14:34,797 AppiumController extentbeforeMethod - @BeforeMethod : ThreadName: mainmBankingBaseFactory.AppiumController
[INFO] 2018-05-10 18:14:34,799 BalanceEnquiryTest AppExit - **********Exit Application**********
[INFO] 2018-05-10 18:14:34,807 AppiumController waitForElement - Entered Wait for locator
[INFO] 2018-05-10 18:14:42,838 BasePage exitapp - true
[INFO] 2018-05-10 18:14:42,880 BasePage exitapp - true
[INFO] 2018-05-10 18:14:43,946 AppiumController waitForElement - Entered Wait for locator
